Unnamed: 0,verse,predicted_labels,predicted_scores
0,"This phenomenal creation, which is both ephemeral and eternal, is like a tree, but having its seed above in the Highest and its ramifications on this earth below. The scriptures are its leaves, and he who understands this, knows. ",awe,0.813607991
1," Its branches shoot upwards and downwards, deriving their nourishment from the Qualities; its buds are the objects of sense; and its roots, which follow the Law causing manâs regeneration and degeneration, pierce downwards into the soil. ","hope, awe","0.7271633744239807, 0.6616836786270142"
2," In this world its true form is not known, neither its origin nor its end, and its strength is not understood., until the tree with its roots striking deep into the earth is hewn down by the sharp axe of non-attachment. ","detachment, surprise","0.9701771140098572, 0.811923623085022"
3," Beyond lies the Path, from which, when found, there is no return. This is the Primal God from where this ancient creation has sprung. ",devotion,0.500485718
4," The wise attain Eternity when, freed from pride and delusion, they have conquered their love for the things of sense; when, renouncing desire and fixing their gaze on the Self, they have ceased to be tossed to and fro by the opposing sensations, like pleasure and pain. ","detachment, peace, awe","0.884010910987854, 0.7887124419212341, 0.5343165397644043"
5," Neither sun, moon, nor fire shines there. Those who go towards that place never come back. For, that is my Celestial Home! ","detachment, peace, devotion, surprise, awe","0.8405942916870117, 0.7741807103157043, 0.6686053276062012, 0.5847622752189636, 0.5615897178649902"
6," It is only a very small part of My Eternal Self, which is the life of the universe, drawing round itself the six senses, the mind the last, which have their source in Nature. ",Neutral,1
7," When the Supreme Lord enters a body or leaves it, He gathers these senses together and travels on with them, as the wind gathers perfume while passing through the flowers. ",devotion,0.697571218
8," He is the perception of the ear, the eye, the touch, the taste and the smell, yea and of the mind also; and the enjoyment the things which they perceive is also His. ","joy, trust, devotion","0.9068381190299988, 0.7067543268203735, 0.6235158443450928"
9, The ignorant do not see that it is He Who is present in life and Who departs at death or even that it is He Who enjoys pleasure through the Qualities. Only the eye of wisdom sees. ,"joy, detachment, surprise, trust, devotion, awe, peace","0.8525502681732178, 0.8042198419570923, 0.7717883586883545, 0.6970822811126709, 0.638390839099884, 0.6033111214637756, 0.5180765390396118"
10," The saints with great effort find Him within themselves; but not the unintelligent, who in spite of every effort cannot control their minds. ","devotion, hope, trust, awe","0.923301100730896, 0.7329152822494507, 0.7249879837036133, 0.51771080493927"
11," Remember that the Light which, proceeding from the sun, illumines the whole world, and the Light which is in the moon, and That which is in the fire also, all are born of Me. ","devotion, trust, hope, awe","0.8838852047920227, 0.8719823360443115, 0.81589674949646, 0.6839352250099182"
12, I enter this world and animate all My creatures with My vitality; and by My cool moonbeams I nourish the plants. ,"devotion, trust, hope, peace, compassion, awe","0.8850731253623962, 0.8002722859382629, 0.7960733771324158, 0.6696047186851501, 0.5479019284248352, 0.5116772055625916"
13," Becoming the fire of life, I pass into their bodies and, uniting with the vital streams of Prana and Apana, I digest the various kinds of food. ","devotion, compassion","0.7237995862960815, 0.5767092704772949"
14," I am enthroned in the hearts of all; memory, wisdom and discrimination owe their origins to Me. I am He Who is to be realised in the scriptures; I inspire their wisdom and I know their truth. ","hope, trust, devotion, awe, love, peace","0.8537612557411194, 0.8094261288642883, 0.808522641658783, 0.7824243307113647, 0.5819780230522156, 0.5049558877944946"
15," There are two aspects in Nature: the perishable and the imperishable. All life in this world belongs to the former, the unchanging element belongs to the latter. ",Neutral,
16," But higher than all am I, the Supreme God, the Absolute Self, the Eternal Lord, Who pervades the worlds and upholds them all. ","awe, devotion, trust","0.6161513924598694, 0.6151992678642273, 0.551900327205658"
17," Beyond comparison of the Eternal with the non-eternal am I, Who am called by scriptures and sages the Supreme Personality, the Highest God. ","awe, hope","0.5038928389549255, 0.5028026700019836"
18," He who with unclouded vision sees Me as the Lord-God, knows all there is to be known, and always shall worship Me with his whole heart. ","devotion, trust, love, hope, awe","0.9794977903366089, 0.9091022610664368, 0.8923484086990356, 0.7873275279998779, 0.6457288265228271"
19," Thus, O Sinless One, I have revealed to you this most mystic knowledge. He who understands gains wisdom and attains the consummation of life.",awe,0.531477213
0,"I will now reveal to you, since you doubt not, that profound mysticism, which when followed by experience, shall liberate you from sin. ",hope,0.615619123
1," This is the Premier Science, the Sovereign Secret, the Purest and Best; intuitional, righteous; and to him who practises it pleasant beyond measure. ","awe, peace","0.6277074813842773, 0.5363296270370483"
2," They who have no faith in this teaching cannot find Me, but remain lost in the purlieus of this perishable world. ","trust, detachment","0.9250789284706116, 0.5571531057357788"
3," The whole world is pervaded by Me, yet My form is not seen. All living things have their being in Me, yet I am not limited by them. ","detachment, trust, peace, devotion, surprise, awe","0.8931652307510376, 0.8192711472511292, 0.6854764819145203, 0.6499411463737488, 0.6123243570327759, 0.6030217409133911"
4," Nevertheless, they do not consciously abide in Me. Such is My Divine Sovereignty that though I, the Supreme Self, am the cause and upholder of all, yet I remain outside. ","detachment, surprise, trust","0.9457362294197083, 0.7446645498275757, 0.6403267979621887"
5," As the mighty wind, though moving everywhere, has no resting place but space, so have all these beings no home but Me. ","devotion, awe","0.6237331032752991, 0.6051447987556458"
6," All beings, return at the close of every cosmic cycle into the realm of Nature, which is a part of Me, and at the beginning of the next I send them forth again. ","devotion, trust","0.5936285853385925, 0.5899091362953186"
7," With the help of Nature, again and again I pour forth the whole multitude of beings, whether they will or no, for they are ruled by My Will. ","trust, hope","0.7162644863128662, 0.6293591260910034"
8, But these acts of mine do not bind Me. I remain outside and unattached. ,"detachment, peace","0.9957407712936401, 0.7828934788703918"
9," Under my guidance, Nature produces all things movable and immovable. Thus it is, that this universe revolves. ",Neutral,
10," Fools disregard Me, seeing Me clad in human form. They know not that in My higher nature I am the Lord-God of all. ","surprise, detachment, trust, hope","0.9808633923530579, 0.9013752937316895, 0.7824278473854065, 0.6038090586662292"
11," Their hopes are vain, their actions worthless, their knowledge futile; they are without sense, deceitful, barbarous and godless. ","disgust, detachment, sadness","0.8607079982757568, 0.657970666885376, 0.6551607847213745"
12," But the Great Souls Filled with My Divine Spirit, they worship Me, they fix their minds on Me and on Me alone, for they know that I am the imperishable Source of being. ","devotion, trust, awe, love, hope, peace, compassion","0.9955887198448181, 0.9123257994651794, 0.8602250814437866, 0.8155763149261475, 0.6520715355873108, 0.6487393975257874, 0.602764904499054"
13," Always extolling Me, strenuous, firm in their vows, prostrating themselves before Me, they worship Me continually with concentrated devotion. ","devotion, awe, love, trust","0.9950850605964661, 0.9216666221618652, 0.8646970391273499, 0.8247148394584656"
14," Others worship Me with full consciousness as the One, the Manifold, the Omnipresent, the Universal. ","devotion, trust, awe","0.9861604571342468, 0.6989514231681824, 0.6704577803611755"
15," I am the Oblation, the Sacrifice and the Worship; I am the Fuel and the Chant, I am the Butter offered to the fire, I am the Fire itself, and I am the Act of offering. ","devotion, awe","0.8977563977241516, 0.6383551359176636"
16, I am the Father of the universe and its Mother; I am its Nourisher and its Grandfather; I am the Knowable and the Pure; I am Om  and I am the Sacred Scriptures. ,"devotion, awe","0.9109236598014832, 0.7433786988258362"
17," I am the Goal, the Sustainer, the Lord, the Witness, the Home, the Shelter, the Lover and the Origin, I am Life and Death, I am the Fountain and the Seed Imperishable. ","devotion, love, awe, hope","0.9037988781929016, 0.8703048229217529, 0.7928504943847656, 0.777795672416687"
18," I am the Heat of the Sun, I release and hold back the Rains. I am Death and Immortality, I am Being and Not-Being. ","devotion, detachment, awe","0.7133609652519226, 0.6238608360290527, 0.5724198222160339"
19," Those who are versed in the scriptures, who drink the mystic Soma-juice and are purified from sin, but who while worshipping Me with sacrifices pray that I will lead them to heaven; they reach the holy world where lives the Controller of the Powers of Nature, and they enjoy the feasts of Paradise. ","devotion, hope, awe, trust","0.9516832232475281, 0.6587666869163513, 0.6353750228881836, 0.5146716833114624"
20," Yet although they enjoy the spacious glories of Paradise, nevertheless, when their merit is exhausted, they are born again into this world of mortals. They have followed the letter of the scriptures, yet because they have sought but to fulfill their own desires, they must depart and return again and again. ","surprise, sadness","0.736706554889679, 0.5999868512153625"
21," But if a man will meditate on Me and Me alone, and will worship Me always and everywhere, I will take upon Myself the fulfillment of his aspiration, and I will safeguard whatsoever he shall attain. ","trust, devotion, hope, compassion, peace, detachment, love, awe, anticipation","0.9879292249679565, 0.9720603823661804, 0.8876798748970032, 0.8463639616966248, 0.8150649666786194, 0.794731855392456, 0.7780848145484924, 0.5606451630592346, 0.5119995474815369"
22," Even those who worship the lesser Powers, if they do so with faith, they thereby worship Me, though not in the right way. ","trust, devotion, hope","0.9280462861061096, 0.7741186022758484, 0.649215579032898"
23," I am the willing recipient of sacrifice, and I am its true Lord. But these do not know me in truth, and so they sink back. ","trust, devotion, love, compassion, surprise, detachment, hope","0.8911661505699158, 0.8418879508972168, 0.8050522804260254, 0.7866692543029785, 0.7721904516220093, 0.7434126138687134, 0.6640916466712952"
24," The votaries of the lesser Powers go to them; the devotees of spirits go to them; they who worship the Powers of Darkness, to such Powers shall they go; and so, too, those who worship Me shall come to Me. ","devotion, trust, hope, compassion, awe","0.9836538434028625, 0.8603275418281555, 0.845122754573822, 0.5873947739601135, 0.538213312625885"
25," Whatever a man offers to Me, whether it be a leaf, or a flower, of fruit, or water, I accept it, for it is offered with devotion and purity of mind. ","devotion, trust, compassion, love, peace","0.9901674389839172, 0.967201292514801, 0.9111838936805725, 0.8310470581054688, 0.784183919429779"
26," Whatever you do, whatever you do eat, whatever you do sacrifice and give, whatever austerities you practisest, do all as an offering to Me. ","devotion, compassion, peace, trust, love","0.9772108197212219, 0.7309932112693787, 0.6855044364929199, 0.6734316349029541, 0.5190528631210327"
27," So shall your action be attended by no result, either good or bad; but through the spirit of renunciation you shall come to Me and be free. ","detachment, peace, hope, trust","0.9845787882804871, 0.9604219198226929, 0.912239670753479, 0.6585525870323181"
28," I am the same to all beings. I favour none, and I hate none. But those who worship Me devotedly, they live in Me, and I in them. ","devotion, peace, trust, compassion, love","0.9887198805809021, 0.9472938776016235, 0.8387449383735657, 0.7556309103965759, 0.7009711861610413"
29," Even the most sinful, if he worship Me with his whole heart, shall be considered righteous, for he is treading the right path. ","devotion, hope, trust, love, compassion, peace, awe","0.9882825613021851, 0.9490867257118225, 0.892796516418457, 0.8835057020187378, 0.8189476132392883, 0.7635228037834167, 0.6196784377098083"
30," He shall attain spirituality before long, and Eternal Peace shall be his. Believe me, My devotee is never lost. ","hope, trust, devotion, anticipation, compassion, love, peace, awe, joy","0.995333194732666, 0.9941051602363586, 0.983088493347168, 0.9653375744819641, 0.9626178741455078, 0.9436413645744324, 0.9197741746902466, 0.8760530948638916, 0.6915825605392456"
31," For even the children of sinful parents, and those miscalled the weaker sex, and merchants, and labourers, if only they will make Me their refuge, they shall attain the Highest. ","hope, trust, compassion, devotion, love, awe, peace","0.9824604988098145, 0.9642501473426819, 0.9515537619590759, 0.9125535488128662, 0.7526006698608398, 0.7100051045417786, 0.5948655009269714"
32," What need then to mention the holy Ministers of God, the devotees and the saintly rulers? Do you, therefore, born in this changing and miserable world, do you too worship Me. ","devotion, hope, trust, love, surprise, awe, compassion","0.8955225944519043, 0.8455551266670227, 0.7922276854515076, 0.6237071752548218, 0.5992148518562317, 0.5696430206298828, 0.5460317730903625"
33," Fix your mind on Me, devote yourself to Me, sacrifice for Me, surrender to Me, make Me the object of your aspirations, and you shall assuredly become one with Me, Who am yours own Self.","devotion, hope, trust, peace, love, compassion","0.9922440648078918, 0.9414629340171814, 0.9342941045761108, 0.8738598823547363, 0.7505218982696533, 0.6681687235832214"
0," Fearlessness, clean living, unceasing concentration on wisdom, readiness to give, self-control, a spirit of sacrifice, regular study of the scriptures, austerities, candour,  harmlessness, truth, absence of wrath, renunciation, contentment, straightforwardness, compassion towards all, uncovetousness, courtesy, modesty, constancy, ","peace, compassion, hope, fear, awe, devotion","0.9678162932395935, 0.927702784538269, 0.8542079925537109, 0.7808600068092346, 0.7530197501182556, 0.7055235505104065"
1," harmlessness, truth, absence of wrath, renunciation, contentment, straightforwardness, compassion towards all, uncovetousness, courtesy, modesty, constancy, ","peace, compassion, detachment, hope","0.9829416275024414, 0.958805501461029, 0.7981851100921631, 0.5173901915550232"
2," Valour, forgiveness, fortitude, purity, freedom from hate and vanity; these are his who possesses the Godly Qualities","peace, awe, hope","0.7511240243911743, 0.6461685299873352, 0.610222578048706"
3," Hypocrisy, pride, insolence, cruelty, ignorance belong to him who is born of the godless qualities. ",Neutral,
4," Godly qualities lead to liberation; godless to bondage. Do not be anxious, Prince! You have the Godly qualities. ","hope, peace, trust","0.966422975063324, 0.792169988155365, 0.6166513562202454"
5, All beings are of two classes: Godly and godless. The Godly I have described; I will now describe the other. ,Neutral,
6, The godless do not know how to act or how to renounce. They have neither purity nor truth. They do not understand the right principles of conduct. ,"surprise, detachment","0.716677725315094, 0.6441015005111694"
7," They say the universe is an accident with no purpose and no God. Life is created by sexual union, a product of lust and nothing else. ",surprise,0.53260535
8," Thinking thus, these degraded souls, these enemies of mankind,whose intelligence is negligible and whose deeds are monstrous,come into the world only to destroy. ","disgust, sadness","0.7866692543029785, 0.5666123032569885"
9," Giving themselves up to insatiable passions, hypocritical, self-sufficient and arrogant, cherishing false conception founded on delusion, they work only to carry out their own unholy purposes. ",disgust,0.585013807
10," Poring anxiously over evil resolutions, which only end in death; seeking only the gratification of desire as the highest goal; seeing nothing beyond; ","fear, anticipation","0.8248533010482788, 0.619141697883606"
11," Caught in the toils of a hundred vain hopes, the slaves of passion and wrath, they accumulate hoards of unjust wealth, only to pander to their sensual desire. ",anger,0.794978619
12," This I have gained today; tomorrow I will gratify another desire; this wealth is mine now, the rest shall be mine before long; ","hope, anticipation, detachment, awe, joy, trust","0.9840509295463562, 0.9647474884986877, 0.8678935170173645, 0.7276363968849182, 0.6263885498046875, 0.5667029619216919"
13," I have slain one enemy, I will slay the others also; I am worthy to enjoy, I am the Almighty, I am perfect, powerful and happy; ","joy, hope, awe, peace, anticipation, devotion","0.9557085037231445, 0.9458652138710022, 0.8888028860092163, 0.845241367816925, 0.6653056144714355, 0.622829794883728"
14," I am rich, I am well-bred; who is there to compare with me? I will sacrifice, I will give, I will pay â and I will enjoy. Thus blinded by Ignorance, ",detachment,0.684910178
15," Perplexed by discordant thoughts, entangled in the snares of desire, infatuated by passion, they sink into the horrors of hell. ",Neutral,
16," Self-conceited, stubborn, rich, proud and insolent, they make a display of their patronage, disregarding the rules of decency. ",trust,0.540051103
17," Puffed up by power and inordinate conceit, swayed by lust and wrath, these wicked people hate Me Who am within them, as I am within all. ","trust, anger, devotion, disgust","0.8745043873786926, 0.6388494372367859, 0.6360741257667542, 0.5730699896812439"
18," Those who thus hate Me, who are cruel, the dregs of mankind, I condemn them to a continuous, miserable and godless rebirth. ","disgust, anger, detachment","0.7059342265129089, 0.5271580219268799, 0.5109477639198303"
19," So reborn, they spend life after life, enveloped in delusion. And they never reach Me, O Prince, but degenerate into still lower forms of life. ",Neutral,
20," The gates of hell are three: lust, wrath and avarice. They destroy the Self. Avoid them. ",Neutral,
21," These are the gates which lead to darkness; if a man avoid them he will ensure his own welfare, and in the end will attain his liberation. ",detachment,0.54082495
22," But he who neglects the commands of the scriptures, and follows the promptings of passion, he does not attain perfection, happiness or the final goal. ",Neutral,
23," Therefore whenever there is doubt whether you should do a thing or not, let the scriptures guide your conduct. In the light of the scriptures should you labour the whole of your life.","trust, devotion, hope","0.7862600684165955, 0.6802457571029663, 0.6306628584861755"
0,"My Lord! Those who do acts of sacrifice, not according to the scriptures but nevertheless with implicit faith, what is their condition? Is it one of Purity, of Passion or of Ignorance? ",surprise,0.592640877
1,"Man has an inherent faith in one or another of the Qualities, Purity, Passion and Ignorance.","devotion, trust","0.8535692691802979, 0.704060971736908"
2, The faith of every man conforms to his nature. By nature he is full of faith. He is in fact what his faith makes him. ,"trust, devotion","0.6915168762207031, 0.6382226943969727"
3," The Pure worship the true God; the Passionate, the powers of wealth and magic; the Ignorant, the spirits of the dead and of the lower orders of nature. ",devotion,0.944670975
4," Those who practise austerities not commanded by scripture, who are slaves to hypocrisy and egotism, who are carried away by the fury of desire and passion, ",anger,0.912186325
5," They are ignorant. They torment the organs of the body; and they harass Me also, Who lives within. Know that they are devoted to evil. ","devotion, disgust","0.7317838072776794, 0.5471382141113281"
6," The food which men enjoy is also threefold, like the ways of sacrifice, austerity and almsgiving. Listen to the distinction. ",Neutral,
7," The foods that prolong life and increase purity, vigour, health, cheerfulness and happiness are those that are delicious, soothing, substantial and agreeable. These are loved by the Pure. ","joy, love, devotion","0.8753715753555298, 0.6616382598876953, 0.5826734900474548"
